City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
177,Ahuimanu,US,83.91,broken clouds,21.4447,-157.8378,Paradise Bay Resort
179,Alofi,NU,75.09,light rain,-19.0595,-169.9187,Taloa Heights
180,Paulista,BR,76.86,clear sky,-7.9408,-34.8731,Hotel Chanceller
181,Itupiranga,BR,78.24,broken clouds,-5.1347,-49.3267,Hotel Panorama
186,Saint George,US,84.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
187,Puerto Colombia,CO,82.49,clear sky,10.9878,-74.9547,Hotel El Emigrante
190,Sola,VU,76.42,broken clouds,-13.8833,167.55,Leumerus Bungalows
191,Faanui,PF,77.38,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
192,Nara,JP,88.97,scattered clouds,34.6851,135.8049,Guesthouse Nara Komachi
200,Mahbubabad,IN,78.12,overcast clouds,17.6167,80.0167,Vedansh Residency
201,Douentza,ML,82.83,broken clouds,14.9951,-2.9517,Ogomono Doumbo
203,Impfondo,CG,75.0,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
204,Dickinson,US,89.2,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
209,Razole,IN,84.49,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
213,Pundaguitan,PH,84.38,light rain,6.3711,126.1689,Leonardo Family Beach House 1
218,Elizabeth City,US,78.03,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
220,Porangatu,BR,76.89,broken clouds,-13.4408,-49.1486,Wembley Park Hotel
223,Namatanai,PG,82.53,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
225,Norman Wells,CA,84.24,scattered clouds,65.282,-126.8329,Heritage Hotel
227,Alibag,IN,80.67,overcast clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
229,Jasper,US,77.88,few clouds,37.2001,-94.3502,Guest House Motel
230,Pacific Grove,US,80.56,few clouds,36.6177,-121.9166,Lovers Point Inn
231,Alexandria,EG,79.72,clear sky,31.2156,29.9553,Royal Crown Hotel
232,Kefamenanu,ID,84.22,few clouds,-9.4467,124.4781,Sokowindo Losmen
234,Rizhao,CN,80.13,light rain,35.4275,119.4553,Novotel Rizhao Suning
246,Kroya,ID,78.3,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
247,Muisne,EC,75.47,overcast clouds,0.6,-80.0333,Quinta Samay
248,Nizwa,OM,85.53,broken clouds,22.9333,57.5333,Orient Apartments
249,Todos Santos,MX,87.75,broken clouds,23.45,-110.2167,Hotel California Todos Santos
251,Marawi,PH,83.34,scattered clouds,7.9986,124.2928,Derogongan Residence
254,Vanimo,PG,85.48,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
261,Buchanan,LR,75.97,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
262,Marshall,US,82.81,clear sky,34.3834,-86.3333,Riverview Campground
263,Naze,JP,80.04,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
266,Porto Novo,BJ,78.62,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
268,Jalu,LY,83.89,clear sky,29.0331,21.5482,صاحبة الفخامة
269,Lincoln,US,75.88,haze,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
270,Fuxin,CN,78.66,overcast clouds,42.0156,121.6589,Xinya International Hotel
274,Byron Bay,AU,81.72,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
275,Havelock,US,78.93,scattered clouds,34.8791,-76.9013,Sherwood Motel
277,Tarakan,ID,85.5,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
278,Shu,KZ,78.73,broken clouds,43.5983,73.7614,Shyngyzkhan
290,Dingle,PH,88.07,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
291,Surt,LY,83.73,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
296,Lorengau,PG,85.77,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
298,Progreso,MX,75.31,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
299,Iralaya,HN,81.54,overcast clouds,15.0,-83.2333,Iglesia morava renovada
303,Suratgarh,IN,89.53,scattered clouds,29.3167,73.9,Maharaja Hotel
304,Yumen,CN,79.34,overcast clouds,40.2833,97.2,
306,Kulhudhuffushi,MV,82.63,scattered clouds,6.6221,73.07,Hondaafushi Island Resort
