City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
315,Lubao,PH,14.9167,120.55,87.15,73,97,15.79,moderate rain
316,Namatanai,PG,-3.6667,152.4333,82.65,74,23,2.42,moderate rain
317,Djibo,BF,14.1022,-1.6306,80.6,65,54,12.17,broken clouds
318,Guarapari,BR,-20.6667,-40.4975,62.49,74,100,8.12,overcast clouds
319,Comrat,MD,46.3003,28.6572,69.85,82,12,7.43,few clouds
320,Humaita,BR,-7.5061,-63.0208,71.83,53,1,1.07,clear sky
321,Shimoda,JP,34.6667,138.95,89.1,63,18,8.39,few clouds
322,Carauari,BR,-4.8828,-66.8958,71.11,56,36,0.38,scattered clouds
323,San Joaquin,US,37.9333,-121.3011,93.11,37,1,13.8,clear sky
324,Goundam,ML,16.4145,-3.6708,84.63,62,56,11.05,broken clouds
325,Havoysund,NO,70.9963,24.6622,45.48,80,100,4.56,overcast clouds
326,Hobyo,SO,5.3505,48.5268,76.19,73,49,19.22,scattered clouds
327,Salina,US,38.8403,-97.6114,75.33,69,1,1.01,clear sky
328,Strelka,RU,58.0728,93.0344,70.86,52,56,4.59,broken clouds
329,Goderich,CA,43.7501,-81.7165,69.91,86,57,8.81,broken clouds
330,Swellendam,ZA,-34.0226,20.4417,52.48,61,100,2.17,overcast clouds
331,Belize,BZ,17.25,-88.75,79.25,97,93,2.04,overcast clouds
332,Revda,RU,56.801,59.9303,67.01,93,67,10.58,broken clouds
333,Micheweni,TZ,-4.9667,39.8333,73.24,86,69,12.48,moderate rain
334,Shemonaikha,KZ,50.6328,81.9056,74.23,35,44,3.31,scattered clouds
335,Galveston,US,29.3669,-94.9669,87.22,83,1,1.01,clear sky
336,Fenelon Falls,CA,44.5334,-78.7496,58.78,97,100,6.42,overcast clouds
337,Ancud,CL,-41.8697,-73.8203,35.13,84,73,4.25,broken clouds
338,Conselheiro Lafaiete,BR,-20.6603,-43.7861,44.85,97,62,4.92,broken clouds
339,Cabedelo,BR,-6.9811,-34.8339,74.07,83,12,16.06,few clouds
340,Mikhaylovka,RU,50.06,43.2379,72.55,62,4,4.14,clear sky
341,Moron,AR,-34.6534,-58.6198,51.98,85,0,2.13,clear sky
342,Kaeo,NZ,-35.1,173.7833,61.32,67,41,4.85,scattered clouds
343,Chicama,PE,-7.8447,-79.1469,64.35,85,40,7.43,scattered clouds
344,Nemuro,JP,43.3236,145.575,65.1,99,100,14.2,overcast clouds
345,Lompoc,US,34.6391,-120.4579,73.78,82,1,6.91,clear sky
346,Quatre Cocos,MU,-20.2078,57.7625,71.1,73,25,19.33,light rain
347,Phetchabun,TH,16.25,101.0833,82.06,77,98,5.73,overcast clouds
348,Trelew,AR,-43.249,-65.3051,43.81,54,0,18.9,clear sky
349,Grand Gaube,MU,-20.0064,57.6608,71.38,73,2,5.99,clear sky
350,Belmonte,BR,-15.8631,-38.8828,64.9,74,100,10.74,overcast clouds
351,Korem,ET,12.5058,39.5228,54.75,92,100,5.53,light rain
352,Kununurra,AU,-15.7667,128.7333,93.18,26,49,9.22,scattered clouds
353,Meulaboh,ID,4.1363,96.1285,78.12,83,100,3.0,light rain
354,Pangnirtung,CA,66.1451,-65.7125,47.37,75,69,2.55,broken clouds
355,Grindavik,IS,63.8424,-22.4338,53.56,100,90,5.75,mist
356,Gushikawa,JP,26.3544,127.8686,89.19,78,75,16.11,broken clouds
357,Tautira,PF,-17.7333,-149.15,80.62,64,85,12.46,overcast clouds
358,Teguldet,RU,57.3064,88.1667,62.04,72,100,3.29,overcast clouds
359,Biltine,TD,14.5333,20.9167,72.54,82,100,20.56,overcast clouds
360,Fukuma,JP,33.7667,130.4667,89.04,72,100,2.82,overcast clouds
361,Novobirilyussy,RU,56.9514,90.6661,70.21,51,75,3.65,broken clouds
362,Makakilo City,US,21.3469,-158.0858,84.52,56,20,12.66,few clouds
363,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,63.19,68,75,8.95,light rain
364,Lakes Entrance,AU,-37.8811,147.981,59.18,57,73,12.24,broken clouds
365,Alekseyevka,RU,50.6309,38.6903,69.82,60,0,1.25,clear sky
366,Norman Wells,CA,65.282,-126.8329,80.98,40,1,3.98,clear sky
367,Tripoli,LY,32.8752,13.1875,85.66,44,0,6.71,clear sky
368,Olinda,BR,-8.0089,-34.8553,76.73,69,40,16.11,scattered clouds
369,Vuktyl,RU,63.8567,57.3094,59.58,92,83,11.05,broken clouds
370,Leningradskiy,RU,69.3833,178.4167,35.56,86,100,19.17,overcast clouds
371,Buala,SB,-8.145,159.5921,77.27,89,100,3.29,light rain
372,Talcahuano,CL,-36.7167,-73.1167,46.08,76,0,10.36,clear sky
373,Cockburn Town,TC,21.4612,-71.1419,82.27,80,10,20.47,clear sky
374,Esso,RU,55.9333,158.7,60.85,38,25,11.97,scattered clouds
375,Puerto Escondido,MX,15.85,-97.0667,85.03,70,40,0.0,scattered clouds
376,Honiara,SB,-9.4333,159.95,81.09,78,96,0.72,overcast clouds
377,Matara,LK,5.9485,80.5353,82.11,74,59,11.83,broken clouds
378,Worland,US,44.0169,-107.9554,83.68,49,40,8.05,scattered clouds
379,Ayagoz,KZ,47.9714,80.4392,76.05,17,21,2.73,few clouds
380,Paracatu,BR,-17.2222,-46.8747,64.92,60,49,5.91,scattered clouds
381,Mackay,AU,-21.15,149.2,84.69,69,61,8.08,broken clouds
